Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,41,2025-01-22,28-137,CLE,@,HOU,1,35:03,7,21,.333,1,8,.125,4,5,.800,2,1,3,3,0,1,1,2,19,9.4,+19
,42,2025-01-24,28-139,CLE,@,PHI,1,33:24,12,23,.522,7,15,.467,6,8,.750,1,2,3,7,3,0,4,3,37,28.9,+3
,43,2025-01-25,28-140,CLE,,HOU,1,37:07,11,27,.407,4,11,.364,7,9,.778,1,3,4,7,2,1,1,5,33,23.9,-1
,44,2025-01-27,28-142,CLE,,DET,1,30:54,6,12,.500,2,6,.333,7,7,1.000,0,2,2,6,1,0,1,0,21,19.8,+16
,45,2025-01-29,28-144,CLE,@,MIA,1,30:23,14,23,.609,5,11,.455,1,1,1.000,0,1,1,6,2,0,1,3,34,27.8,+11
,46,2025-01-30,28-145,CLE,,ATL,1,27:21,8,16,.500,4,10,.400,4,5,.800,0,1,1,6,1,0,1,1,24,19.7,+17
,47,2025-02-02,28-148,CLE,,DAL,1,23:40,4,9,.444,2,5,.400,2,2,1.000,0,6,6,6,0,0,2,2,12,10.5,+47
,48,2025-02-04,28-150,CLE,,BOS,1,36:09,12,25,.480,4,14,.286,3,3,1.000,1,9,10,6,2,0,5,2,31,22.1,-5
,49,2025-02-07,28-153,CLE,@,WAS,1,34:08,12,26,.462,4,11,.364,5,5,1.000,0,1,1,5,2,0,3,3,33,21.2,+11
,50,2025-02-10,28-156,CLE,,MIN,1,32:21,10,14,.714,2,5,.400,1,3,.333,0,3,3,8,2,0,2,1,23,22.5,+15
,51,2025-02-12,28-158,CLE,@,TOR,1,29:16,6,16,.375,2,9,.222,7,8,.875,3,3,6,5,0,0,2,2,21,15.5,+16
,52,2025-02-20,28-166,CLE,@,BRK,1,30:16,8,21,.381,3,9,.333,7,10,.700,3,2,5,2,1,0,4,0,26,14.4,+4
,53,2025-02-21,28-167,CLE,,NYK,1,26:08,10,15,.667,5,7,.714,2,3,.667,0,3,3,5,1,1,1,2,27,24.4,+22
,54,2025-02-23,28-169,CLE,,MEM,1,35:09,11,23,.478,4,8,.500,7,11,.636,2,0,2,6,0,0,1,4,33,22.7,+1
,55,2025-02-25,28-171,CLE,@,ORL,1,23:14,5,12,.417,1,4,.250,0,0,,1,2,3,5,0,0,2,1,11,7.0,+16
,56,2025-02-28,28-174,CLE,@,BOS,1,35:08,13,26,.500,5,12,.417,10,11,.909,0,3,3,5,1,0,2,1,41,30.6,0
,57,2025-03-04,28-178,CLE,@,CHI,1,27:46,7,17,.412,1,6,.167,13,14,.929,1,6,7,5,1,0,1,3,28,23.3,+6
,58,2025-03-05,28-179,CLE,,MIA,1,35:40,8,17,.471,4,11,.364,6,7,.857,1,6,7,5,2,0,5,2,26,19.1,-3
,59,2025-03-07,28-181,CLE,@,CHO,1,35:57,6,19,.316,0,6,.000,12,18,.667,0,3,3,1,0,1,3,2,24,9.2,+1
,60,2025-03-09,28-183,CLE,@,MIL,1,29:53,4,15,.267,1,7,.143,6,7,.857,1,4,5,6,1,0,4,0,15,8.8,+2
